;coeditor1;coeditor2;count
1816;Brewer;Staves;1
1817;Baker;Reill;1
1818;Berg;Eger;1
1819;Christ;Morisi;1
1820;Knott;Taylor;1
1801;Andries;Denis;1
1799;Cormier;Girardin;1
1780;Conraux;Mengin;1
1788;Harris;Wetherill;1
1781;Haquin;Mengin;1
1782;Bernaudeau;Nandrin;1
1783;Bernaudeau;Rousseaux;1
1784;Nandrin;Rousseaux;1
1785;Meier;Wild;1
1786;Diaz;Wild;1
1787;Antoine-Mahut;Lézé;1
1789;Cavalié;Clavert;1
1798;Cormier;Gilly;1
1790;Cavalié;Legendre;1
1791;Cavalié;Martin;1
1792;Clavert;Legendre;1
1793;Clavert;Martin;1
1794;Legendre;Martin;1
1795;Bosquet;Racault;1
1796;Mellier;Ruiz;1
1735;Berti;Charles-Daubert;1
1733;Debreuille;Régnier;1
1651;Downing;Stephens;1
1732;Berriot-Salvadore;al.;1
1673;Laffont;Martouzet;1
1674;Bernard;Laffont;1
1675;Chamerois;Laffont;1
1676;Gautier;Martouzet;1
1677;Bernard;Gautier;1
1678;Chamerois;Gautier;1
1679;Bernard;Martouzet;1
1680;Chamerois;Martouzet;1
1681;Bernard;Chamerois;1
1682;Gavoille;de Weerdt-Pilorge;1
1683;Chardin;Gavoille;1
1684;Chardin;de Weerdt-Pilorge;1
1685;Beck;Ionescu;1
1686;DiPiero;Gill;1
1687;Dumas;Gaullier-Bougassas;1
1688;Guyon;Requemora-Gros;1
1690;Giron-Panel;Yon;1
1672;Gautier;Laffont;1
1671;Baird;Ionescu;1
1670;Belleguic;Tatin-Gourier;1
1659;Dufour;Gendrel;1
1652;Downing;Unwin;1
1653;Stephens;Unwin;1
1654;Dufresne;Langlois;1
1655;Luneau;Saint-Amand;1
1656;Kolderup;Wåhlberg;1
1657;Bourdin;Renaud;1
1658;Connon;Evans;1
1660;Dufour;Larroux;1
1669;Cocula;Combet;1
1661;Gendrel;Larroux;1
1662;Keller-Privat;Schwerdtner;1
1663;Lecoquierre;Wauters;1
1665;Corvisier;Jacquart;1
1666;Duquaire;Kremer;1
1667;Duquaire;Eche;1
1668;Eche;Kremer;1
1691;Serre;Yon;1
1692;Bordreuil;Bouvier;1
1693;Badinter;Muzerelle;1
1723;Ferran;Vanoosthuyse;1
1716;Forget;Martineau;1
1717;Araujo;Lévesque;1
1718;Araujo;Vallée;1
1719;Lévesque;Vallée;1
1720;Ayres-Bennett;Rainsford;1
1721;Dubus;Fiorato;1
1722;Ferran;Rollinat-Levasseur;1
1724;Rollinat-Levasseur;Vanoosthuyse;1
1714;Guinand;Seidel;1
1725;Grésillon;Lebrave;1
1726;Mathias;O’Sullivan;1
1727;Mathias;Vorstman;1
1728;O’Sullivan;Vorstman;1
1729;Ambrus;Sherf;1
1730;Berriot-Salvadore;Pascal;1
1731;Pascal;al.;1
1715;Lotterie;MacMahon;1
1713;Freund;Seidel;1
1694;Haine;Rittner;1
1702;Groß;Nischik;1
1695;Jackson;Rittner;1
1696;Haine;Jackson;1
1697;Colantonio;Fayolle;1
1698;Bjørnstad;Jordheim;1
1699;Bjørnstad;Régent-Susini;1
1700;Jordheim;Régent-Susini;1
1701;Groß;Klooß;1
1703;Klooß;Nischik;1
1712;Freund;Guinand;1
1704;Bödeker;Veit;1
1705;Gefen;Samoyault;1
1706;Larrère;Mondot;1
1707;Brenner;Pérez-Jean;1
1708;Rauch;Tsikounas;1
1710;Lardon;Rosellini;1
1711;Bennett;Dompnier;1
2042;Leca-Mercier;Paillet;1
2128;Michon;Mollier;1
2044;Durain;Laferrière;1
2454;Beauthier;Truffin;1
2477;Balani;Carpananetto;1
2478;Balani;Roggero;1
2479;Carpananetto;Roggero;1
2480;Cassani;Roth;1
2481;Cassani;Sträuli;1
2482;Roth;Sträuli;1
2483;Jean;Massé;1
2484;Giudicelli;Massé;1
2485;Giudicelli;Jean;1
2486;Giannò;Lorenzetti;1
2487;Nagy;Prescendi;1
2488;Skopelitiis;Zuffrey;1
2489;Malverti;Pinon;1
2490;Gilbert;Santoro;1
2491;Brizon;Étienne;1
2492;Lee;Étienne;1
2493;Wismer;Étienne;1
2476;Marchetti;Meccarelli;1
2475;Latini;Meccarelli;1
2474;Latini;Marchetti;1
2464;Hénin;Thouret;1
2456;Perras;Wicky;1
2457;Aprile;Retaillaud-Bajac;1
